iso3c,year,e_gdppc
PAK,1986,2.5
PAK,1987,2.578
PAK,1988,2.646
PAK,1989,2.709
PAK,1990,2.743
PAK,1991,2.787
PAK,1992,2.861
PAK,1993,2.883
PAK,1994,2.92
PAK,1995,2.994
PAK,1996,3.03
PAK,1997,2.996
PAK,1998,3.015
PAK,1999,3.049
PAK,2000,3.061
PAK,2001,3.068
PAK,2002,3.118
PAK,2003,3.204
PAK,2004,3.344
PAK,2005,3.499
PAK,2006,3.659
PAK,2007,3.756
PAK,2008,3.788
PAK,2009,3.849
PAK,2010,3.913
PAK,2011,3.963
PAK,2012,4.026
PAK,2013,4.107
PAK,2014,4.215
PAK,2015,4.309
PAK,2016,4.398
PAK,2017,4.474
PAK,2018,4.558
PAK,2019,4.564
PAK,2020,NA
PAK,2021,NA
PER,1980,5.226
PER,1981,5.297
PER,1982,5.159
PER,1983,4.876
PER,1984,4.847
PER,1985,4.909
PER,1986,5.107
PER,1987,5.23
PER,1988,4.935
PER,1989,4.433
PER,1990,4.237
PER,1991,4.188
PER,1992,4.187
PER,1993,4.361
PER,1994,4.687
PER,1995,5.015
PER,1996,5.164
PER,1997,5.309
PER,1998,5.324
PER,1999,5.302
PER,2000,5.357
PER,2001,5.405
PER,2002,5.568
PER,2003,5.786
PER,2004,6.069
PER,2005,6.45
PER,2006,6.952
PER,2007,7.45
PER,2008,7.907
PER,2009,8.209
PER,2010,8.737
PER,2011,9.281
PER,2012,9.673
PER,2013,10.026
PER,2014,10.244
PER,2015,10.481
PER,2016,10.658
PER,2017,10.832
PER,2018,10.977
PER,2019,10.937
PER,2020,NA
PER,2021,NA
SEN,1980,2.162
SEN,1981,2.16
SEN,1982,2.257
SEN,1983,2.28
SEN,1984,2.278
SEN,1985,2.316
SEN,1986,2.352
SEN,1987,2.37
SEN,1988,2.365
SEN,1989,2.319
SEN,1990,2.283
SEN,1991,2.253
SEN,1992,2.225
SEN,1993,2.171
SEN,1994,2.149
SEN,1995,2.156
SEN,1996,2.176
SEN,1997,2.191
SEN,1998,2.247
SEN,1999,2.307
SEN,2000,2.325
SEN,2001,2.353
SEN,2002,2.345
SEN,2003,2.393
SEN,2004,2.43
SEN,2005,2.473
SEN,2006,2.484
SEN,2007,2.533
SEN,2008,2.544
SEN,2009,2.566
SEN,2010,2.585
SEN,2011,2.576
SEN,2012,2.592
SEN,2013,2.621
SEN,2014,2.686
SEN,2015,2.768
SEN,2016,2.876
SEN,2017,2.999
SEN,2018,3.122
SEN,2019,3.207
SEN,2020,NA
SEN,2021,NA
SSD,2011,26.348
SSD,2012,23.543
SSD,2013,22.604
SSD,2014,21.801
SSD,2015,21.312
SSD,2016,21.253
SSD,2017,21.445
SSD,2018,21.569
SSD,2019,21.725
SSD,2020,NA
SSD,2021,NA
SDN,1980,2.123
SDN,1981,2.122
SDN,1982,2.142
SDN,1983,2.058
SDN,1984,1.965
SDN,1985,1.896
SDN,1986,1.91
SDN,1987,1.93
SDN,1988,1.934
SDN,1989,1.911
SDN,1990,1.791
SDN,1991,1.8
SDN,1992,1.82
SDN,1993,1.811
SDN,1994,1.811
SDN,1995,1.844
SDN,1996,1.9
SDN,1997,1.995
SDN,1998,2.075
SDN,1999,2.143
SDN,2000,2.188
SDN,2001,2.259
SDN,2002,2.352
SDN,2003,2.44
SDN,2004,2.534
SDN,2005,2.745
SDN,2006,2.998
SDN,2007,3.2
SDN,2008,3.325
SDN,2009,3.488
SDN,2010,3.678
SDN,2011,3.808
SDN,2012,3.781
SDN,2013,3.776
SDN,2014,4.01
SDN,2015,4.186
SDN,2016,4.492
SDN,2017,4.878
SDN,2018,4.94
SDN,2019,4.99
SDN,2020,NA
SDN,2021,NA
VNM,1980,1.097
VNM,1981,1.115
VNM,1982,1.155
VNM,1983,1.199
VNM,1984,1.253
VNM,1985,1.288
VNM,1986,1.309
VNM,1987,1.337
VNM,1988,1.368
VNM,1989,1.403
VNM,1990,1.47
VNM,1991,1.545
VNM,1992,1.626
VNM,1993,1.728
VNM,1994,1.831
VNM,1995,1.966
VNM,1996,2.101
VNM,1997,2.242
VNM,1998,2.351
VNM,1999,2.431
VNM,2000,2.55
VNM,2001,2.687
VNM,2002,2.834
VNM,2003,3.002
VNM,2004,3.188
VNM,2005,3.389
VNM,2006,3.603
VNM,2007,3.811
VNM,2008,4.021
VNM,2009,4.197
VNM,2010,4.445
VNM,2011,4.691
VNM,2012,4.911
VNM,2013,5.138
VNM,2014,5.414
VNM,2015,5.694
VNM,2016,6.001
VNM,2017,6.372
VNM,2018,6.714
VNM,2019,6.961
VNM,2020,NA
VNM,2021,NA
AFG,1980,1.743
AFG,1981,1.84
AFG,1982,1.947
AFG,1983,2.018
AFG,1984,2.033
AFG,1985,2.012
AFG,1986,1.968
AFG,1987,1.86
AFG,1988,1.731
AFG,1989,1.588
AFG,1990,1.461
AFG,1991,1.316
AFG,1992,1.16
AFG,1993,0.973
AFG,1994,0.85
AFG,1995,0.847
AFG,1996,0.818
AFG,1997,0.781
AFG,1998,0.752
AFG,1999,0.727
AFG,2000,0.726
AFG,2001,0.765
AFG,2002,0.893
AFG,2003,0.965
AFG,2004,1.005
AFG,2005,1.061
AFG,2006,1.129
AFG,2007,1.23
AFG,2008,1.304
AFG,2009,1.444
AFG,2010,1.545
AFG,2011,1.628
AFG,2012,1.712
AFG,2013,1.772
AFG,2014,1.779
AFG,2015,1.757
AFG,2016,1.76
AFG,2017,1.766
AFG,2018,1.75
AFG,2019,1.745
